atomic_number,full_name,symbol,atomic_weight,category,property 1,property 2,property 3
1,Hydrogen,H,1.008,Nonmetal,Highly reactive with water,Forms a diatomic molecule,Emits a distinct color when burned,,,,,
2,Helium,He,4.0026,Noble Gas,Silvery luster when freshly polished,Conducts electricity well,Forms stable compounds in a specific ratio,,,,,
3,Lithium,Li,6.94,Alkali Metal,Brittle and exhibits allotropy,Atomic number is even,Displays multiple oxidation states,,,,,
4,Beryllium,Be,9.0122,Alkali Earth Metal,Highly abundant in Earth's crust,Used in electronic components,Undergoes a redox reaction with oxygen,,,,,
5,Boron,B,10.81,Metalloid,Forms compounds with diverse colors,Used in photography,Exists in various isotopic forms,,,,,
6,Carbon,C,12.011,Nonmetal,Forms compounds with unique smell,Part of the Earth's atmosphere,Does not readily form compounds,,,,,
7,Nitrogen,N,14.007,Nonmetal,Essential for organic compounds,Forms complex structures with other elements,Critical for energy storage,,,,,
8,Oxygen,O,15.999,Nonmetal,Radioactive decay is used in dating,Medical applications,Forms stable isotopes with specific properties,,,,,
9,Fluorine,F,18.998,Halogen,High strength-to-weight ratio,Used in aerospace applications,Corrodes in the presence of moisture,,,,,
10,Neon,Ne,20.18,Noble Gas,Essential for combustion reactions,Forms a diatomic molecule,Commonly found in hydrocarbons,,,,,
11,Sodium,Na,22.99,Alkali Metal,Forms strong acids,Used in food preservation,Displays isotopes with medical applications,,,,,
12,Magnesium,Mg,24.305,Alkali Earth Metal,Commonly used in batteries,High electronegativity,Forms stable compounds with halogens,,,,,
13,Aluminum,Al,26.982,Metal,Forms diatomic molecules,Highly reactive with alkali metals,Used in water treatment,,,,,
14,Silicon,Si,28.085,Metalloid,Transition metal #,Forms alloys with unique properties,Used in catalysis,,,,,
15,Phosphorus,P,30.974,Nonmetal,Critical for bone health,Essential for nerve function,Found in various biological molecules,,,,,
16,Sulfur,S,32.06,Nonmetal,Used in lighting applications,Colorless and odorless gas,Stable in noble gas form,,,,,
17,Chlorine,Cl,35.45,Halogen,Forms diatomic molecules,Highly reactive with halogens,Commonly used in photography,,,,,
18,Argon,Ar,39.948,Noble Gas,Highly reactive with water,Forms a diatomic molecule,Used in rocket fuel,,,,,
19,Potassium,K,39.098,Alkali Metal,Silvery luster when freshly polished,Conducts electricity well,Magnetic at room temperature,,,,,
20,Calcium,Ca,40.078,Alkali Earth Metal,Essential for bone health,Reacts with water to produce hydrogen gas,Commonly found in dairy products,,,,,
21,Scandium,Sc,44.956,Transition Metal,Used in aerospace and lighting industries,Forms stable oxide coating,Non-toxic and used as a substitute for lead,,,,,
22,Titanium,Ti,47.867,Transition Metal,High strength-to-weight ratio,Used in aerospace and medical implants,Resistant to corrosion,,,,,
23,Vanadium,V,50.942,Transition Metal,Forms colorful compounds,Used in steel production,Critical for some enzymes in living organisms,,,,,
24,Chromium,Cr,51.996,Transition Metal,Forms a protective oxide layer,Used in stainless steel,Key element in glucose metabolism,,,,,
25,Manganese,Mn,54.938,Transition Metal,Essential for steel production,Forms various oxidation states,Found in many minerals and ores,,,,,
26,Iron,Fe,55.845,Transition Metal,Most abundant element on Earth by mass,Forms strong magnetic alloys,Essential for hemoglobin in blood,,,,,
27,Cobalt,Co,58.933,Transition Metal,Used in magnetic alloys,Vital component of vitamin B12,Can be alloyed with other metals for various applications,,,,,
28,Nickel,Ni,58.693,Transition Metal,Used in stainless steel,Magnetic at room temperature,Found in Earth's core,,,,,
29,Copper,Cu,63.546,Transition Metal,Excellent conductor of electricity,Used in electrical wiring and plumbing,Forms distinctive green patina over time,,,,,
30,Zinc,Zn,65.38,Transition Metal,Used in galvanizing steel,Essential for enzyme function,Found in dietary supplements,,,,,
31,Gallium,Ga,69.723,Metal,Melts just above room temperature,Used in electronics and solar panels,Can wet glass and porcelain,,,,,
32,Germanium,Ge,72.63,Metalloid,Semiconductor material,Used in early transistors,Rarely found in its pure form in nature,,,,,
